Order no.,Date,Driver's name,Item,Number of items,Transport,Destination
,,,,number of microvawe orders in Boston :,"=COUNTIFS(D2:D25,""microwave"",G2:G25,""Boston"")",
,,,,number of Peter White journeys with truck 1:,"=COUNTIFS(C2:C25,""Peter White"",F2:F25,""truck 1"")",
,,,,number of orders in Boston after 2/3/2013:,"=COUNTIFS(G2:G25,""Boston"",B2:B25,"">3-2-2013"")",
,,,,number of orders between 2/3/2013 and 2/6/2013:,"=COUNTIFS(B2:B25,"">3-2-2013"",B2:B25,""<6-2-2013"")",
,,,,,sumifs,
,,,,sum of microwaves transported to NY:,"=SUMIFS(E2:E25,D2:D25,""microwave"",G2:G25,""NY"")",
,,,,sum of items transported to Pittsburgh by truck 1:,"=SUMIFS(E2:E25,F2:F25,""truck 1"",G2:G25,""Pittsburgh"")",
,,,,sum of items ordered between 2/3/2013 and 2/6/2013:,"=SUMIFS(E2:E25,B2:B25,"">3-2-13"",B2:B25,""<6-2-13"")",
,,,,,,
,,,,,,
,,,,"sum of items transported to NY, Baltimore and Philadelphia:","=SUMIFS(E2:E25,G2:G25,""NY"")+SUMIFS(E2:E25,G2:G25,""Baltimore"")+SUMIFS(E2:E25,G2:G25,""Philadelphia"")",
,,,,,,
,,,,,,
,,,,,,
Date,Service,Stylist name,Payment,Price,,
41395,Shaving,Jane,cash,7,,
41395,Shaving,Martha,credit card,7,,
41395,Shaving,Lucy,cash,7,,
41395,Washing and combing,Alex,cash,60,,
41395,Dyeing,Alex,credit card,33,,
41395,All service,Rachel,cash,67,,
41395,Meeting hairstyles,Lucy,cash,33,,
41395,Shaving,Ashley,cash,7,,
41396,Shaving,Ashley,credit card,7,,
41396,Shaving,Sandy,credit card,17,,
41396,Kids,Sandy,cash,3,,
41396,Shaving,Ashley,cash,7,,
41396,Shaving,Lucy,cash,7,,
41396,Shaving,Jane,credit card,7,,
41396,Washing and combing,Sandy,cash,60,,
41396,Dyeing,Rachel,cash,33,,
41396,All service,Alex,credit card,67,,
41396,Meeting hairstyles,Jane,cash,33,,
41396,Washing and combing,Martha,cash,23,,
41396,Shaving,Sandy,cash,7,,
41396,Shaving,Jane,cash,17,,
41396,Kids,Ashley,cash,3,,
41397,Kids,Sandy,credit card,3,,
41397,Kids,Lucy,cash,3,,
41397,Washing and combing,Martha,cash,60,,
41397,Dyeing,Lucy,credit card,33,,
41397,All service,Rachel,cash,67,,
41397,Meeting hairstyles,Martha,cash,33,,
41397,Washing and combing,Jane,credit card,23,,
41397,Shaving,Rachel,cash,7,,
41398,Shaving,Martha,cash,17,,
41398,Kids,Alex,cash,3,,
41398,Kids,Sandy,credit card,3,,
41398,Meeting hairstyles,Sandy,credit card,40,,
41398,Kids,Jane,credit card,3,,
41398,Kids,Martha,cash,3,,
41398,Kids,Rachel,cash,3,,
41399,Meeting hairstyles,Sandy,cash,33,,
41399,Meeting hairstyles,Alex,credit card,33,,
41399,Shaving,Martha,cash,7,,
41399,Shaving,Martha,cash,17,,
41399,Washing and combing,Rachel,cash,33,,
41399,Washing and combing,Rachel,credit card,40,,
41399,Meeting hairstyles,Rachel,cash,40,,
41399,Washing and combing,Lucy,cash,60,,
41399,Dyeing,Sandy,cash,33,,
41399,All service,Sandy,cash,67,,
41399,Meeting hairstyles,Martha,cash,33,,
41399,Shaving,Ashley,cash,7,,
41399,Shaving,Rachel,cash,7,,
41400,Meeting hairstyles,Rachel,cash,33,,
41400,Shaving,Sandy,credit card,7,,
41400,Washing and combing,Lucy,cash,40,,
41400,Meeting hairstyles,Alex,cash,40,,
41400,Washing and combing,Rachel,cash,60,,
41400,Dyeing,Ashley,cash,33,,
41400,All service,Rachel,cash,67,,
41400,Meeting hairstyles,Sandy,cash,33,,
41400,Washing and combing,Alex,cash,23,,
41401,Meeting hairstyles,Sandy,credit card,33,,
41401,Shaving,Rachel,cash,17,,
41401,Washing and combing,Sandy,cash,33,,
41401,Washing and combing,Martha,cash,40,,
41401,Shaving,Rachel,cash,7,,
41401,Shaving,Ashley,cash,7,,
41402,Dyeing,Lucy,cash,33,,
41402,All service,Rachel,credit card,67,,
41402,Shaving,Lucy,credit card,7,,
41402,Shaving,Rachel,credit card,7,,
41402,Meeting hairstyles,Ashley,cash,33,,
41402,Shaving,Alex,cash,17,,
41402,Washing and combing,Rachel,cash,33,,
41402,Washing and combing,Rachel,cash,40,,
41402,Shaving,Rachel,cash,7,,
41402,Meeting hairstyles,Alex,credit card,33,,
41402,Shaving,Sandy,cash,7,,
41402,Meeting hairstyles,Jane,cash,33,,
41402,Shaving,Ashley,credit card,7,,
41403,Shaving,Ashley,credit card,7,,
41403,Shaving,Rachel,cash,7,,
41403,Shaving,Rachel,credit card,17,,
41403,Washing and combing,Jane,credit card,33,,
41403,Washing and combing,Lucy,cash,40,,
41403,Shaving,Rachel,cash,7,,
41403,Shaving,Ashley,cash,7,,
41403,Dyeing,Rachel,cash,33,,
41403,Shaving,Martha,credit card,7,,
41403,Dyeing,Lucy,cash,33,,
41404,Washing and combing,Jane,cash,23,,
41404,Shaving,Rachel,cash,7,,
41404,Shaving,Rachel,credit card,17,,
41404,Washing and combing,Alex,cash,33,,
41404,Meeting hairstyles,Rachel,credit card,33,,
41404,Meeting hairstyles,Ashley,cash,40,,
41404,Washing and combing,Alex,cash,60,,
41404,Dyeing,Alex,cash,33,,
41404,All service,Ashley,cash,67,,
41404,Meeting hairstyles,Rachel,credit card,33,,
41404,Washing and combing,Jane,credit card,23,,
41405,Shaving,Sandy,credit card,7,,
41405,Shaving,Alex,credit card,17,,
41405,Washing and combing,Sandy,credit card,33,,
41405,Shaving,Martha,cash,7,,
41405,Dyeing,Ashley,cash,33,,
41405,Dyeing,Martha,cash,33,,
41405,Dyeing,Rachel,cash,33,,
41405,Shaving,Alex,cash,7,,
41405,Meeting hairstyles,Lucy,cash,33,,
41405,Washing and combing,Alex,credit card,23,,
41406,Shaving,Ashley,credit card,7,,
41406,Shaving,Ashley,cash,17,,
41406,Dyeing,Ashley,cash,33,,
41406,Shaving,Jane,cash,7,,
41406,Shaving,Ashley,credit card,7,,
41406,Washing and combing,Lucy,cash,60,,
41406,Dyeing,Jane,credit card,33,,
41406,Shaving,Jane,credit card,7,,
41407,Shaving,Lucy,cash,7,,
41407,Dyeing,Jane,credit card,33,,
41407,Shaving,Rachel,cash,7,,
41407,Shaving,Rachel,cash,7,,
41407,Washing and combing,Alex,credit card,33,,
41407,Dyeing,Martha,cash,33,,
41407,Dyeing,Rachel,cash,33,,
41407,Dyeing,Sandy,cash,33,,
41407,Dyeing,Lucy,cash,33,,
41407,All service,Sandy,cash,67,,
41407,Dyeing,Sandy,cash,33,,
41407,All service,Rachel,credit card,67,,
41407,Shaving,Alex,credit card,7,,
41407,Shaving,Martha,cash,17,,
41408,Washing and combing,Jane,cash,33,,
41408,Dyeing,Martha,credit card,33,,
41408,Meeting hairstyles,Martha,credit card,40,,
41408,All service,Lucy,cash,67,,
41408,All service,Lucy,cash,67,,
41408,Dyeing,Alex,cash,33,,
41408,Dyeing,Ashley,cash,33,,
41408,All service,Rachel,cash,67,,
41408,Dyeing,Martha,cash,33,,
41409,Shaving,Ashley,credit card,17,,
41409,Washing and combing,Alex,credit card,33,,
41409,Washing and combing,Rachel,cash,40,,
41409,Meeting hairstyles,Jane,credit card,40,,
41409,Dyeing,Alex,cash,33,,
41409,Dyeing,Rachel,cash,33,,
41409,All service,Martha,cash,67,,
41409,All service,Jane,credit card,67,,
41409,Washing and combing,Sandy,credit card,23,,
41410,Shaving,Sandy,cash,7,,
41410,Shaving,Ashley,cash,17,,
41410,Dyeing,Sandy,credit card,33,,
41410,Dyeing,Martha,credit card,33,,
41410,Meeting hairstyles,Ashley,cash,40,,
41410,Washing and combing,Sandy,cash,60,,
41410,Dyeing,Jane,cash,33,,
41410,All service,Ashley,cash,67,,
41410,Meeting hairstyles,Alex,credit card,33,,
41410,Washing and combing,Sandy,cash,23,,
41410,Shaving,Rachel,cash,7,,
41410,Shaving,Lucy,credit card,17,,
41410,Washing and combing,Rachel,cash,33,,
41411,Dyeing,Ashley,cash,33,,
41411,Dyeing,Sandy,cash,33,,
41411,Washing and combing,Rachel,credit card,60,,
41411,Dyeing,Sandy,credit card,33,,
41411,All service,Martha,credit card,67,,
41411,Meeting hairstyles,Rachel,credit card,33,,
41411,Dyeing,Rachel,cash,33,,
41411,Shaving,Sandy,cash,7,,
41412,Shaving,Lucy,cash,17,,
41412,Shaving,Ashley,cash,7,,
41412,Shaving,Jane,credit card,17,,
41412,Dyeing,Martha,cash,33,,
41412,Shaving,Sandy,cash,7,,
41412,Shaving,Lucy,credit card,7,,
41412,Dyeing,Martha,credit card,33,,
41413,Shaving,Sandy,credit card,7,,
41414,Shaving,Alex,credit card,7,,
41414,Dyeing,Sandy,credit card,33,,
41414,Shaving,Rachel,credit card,7,,
41415,Shaving,Ashley,credit card,7,,
41415,Shaving,Rachel,cash,7,,
41415,Dyeing,Rachel,cash,33,,
41416,Meeting hairstyles,Martha,cash,40,,
41417,Dyeing,Martha,credit card,33,,
41417,Meeting hairstyles,Alex,cash,40,,
41418,Meeting hairstyles,Rachel,credit card,33,,
41418,Meeting hairstyles,Rachel,cash,33,,
41418,Meeting hairstyles,Martha,cash,33,,
41418,Washing and combing,Lucy,credit card,60,,
41418,Dyeing,Jane,cash,33,,
41418,Washing and combing,Martha,credit card,60,,
41419,Shaving,Lucy,credit card,17,,
41419,Dyeing,Rachel,credit card,33,,
41419,Washing and combing,Sandy,cash,60,,
41419,Washing and combing,Lucy,cash,60,,
41420,Shaving,Rachel,cash,17,,
41420,Shaving,Martha,cash,17,,
41420,Dyeing,Sandy,credit card,33,,
41421,All service,Rachel,cash,67,,
41421,Washing and combing,Jane,credit card,60,,
41421,Washing and combing,Rachel,cash,60,,
41421,All service,Rachel,cash,67,,
41422,Dyeing,Sandy,cash,33,,
41422,Meeting hairstyles,Ashley,cash,33,,
41422,Dyeing,Rachel,cash,33,,
41422,Meeting hairstyles,Martha,cash,33,,
41422,Meeting hairstyles,Lucy,cash,33,,
41422,Dyeing,Jane,cash,33,,
41422,Washing and combing,Ashley,cash,40,,
41423,Dyeing,Jane,cash,33,,
41423,Dyeing,Lucy,cash,33,,
41424,Washing and combing,Lucy,cash,40,,
41424,Dyeing,Sandy,credit card,33,,
41424,Dyeing,Rachel,credit card,33,,
41424,Shaving,Jane,credit card,17,,
41424,Dyeing,Rachel,cash,33,,
41425,Washing and combing,Jane,cash,40,,
41425,Washing and combing,Lucy,credit card,40,,
41425,Dyeing,Martha,cash,33,,
41425,Washing and combing,Martha,cash,40,,
41425,Shaving,Sandy,cash,17,,
41425,Shaving,Rachel,credit card,17,,
41425,Washing and combing,Ashley,cash,40,,
41425,Washing and combing,Rachel,credit card,40,,
,,,,,,
Service,How many times total,Total price,How many times by cash,How many times by credit card,Total price by cash,
Shaving,"=COUNTIFS($B$16:$B$241,A285)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A285)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A285)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A285)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A285)",
Washing and combing,"=COUNTIFS($B$16:$B$241,A286)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A286)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A286)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A286)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A286)",
Dyeing,"=COUNTIFS($B$16:$B$241,A287)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A287)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A287)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A287)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A287)",
Meeting hairstyles,"=COUNTIFS($B$16:$B$241,A288)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A288)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A288)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A288)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A288)",
,,,,,,
,,,,,,
Stylist name,How many times total,Total price,How many times Shaving,How many times Kids,Sum of price for Shaving between 5/10/2013 and 5/20/2013,
Jane,"=COUNTIFS($C$16:$C$241,A292)","=SUMIFS($E$16:$E$241,$C$16:$C$241,A292)","=COUNTIFS($C$16:$C$241,A292,$B$16:$B$241,""Shaving"")","=COUNTIFS($C$16:$C$241,A292,$B$16:$B$241,""Kids"")","=SUMIFS($E$16:$E$241,$C$16:$C$241,A292,$B$16:$B$241,""Shaving"",$A$16:$A$241,"">=5/10/2013"",$A$16:$A$241,""<=5/20/2013"")",
Martha,"=COUNTIFS($C$16:$C$241,A293)","=SUMIFS($E$16:$E$241,$C$16:$C$241,A293)","=COUNTIFS($C$16:$C$241,A293,$B$16:$B$241,""Shaving"")","=COUNTIFS($C$16:$C$241,A293,$B$16:$B$241,""Kids"")","=SUMIFS($E$16:$E$241,$C$16:$C$241,A293,$B$16:$B$241,""Shaving"",$A$16:$A$241,"">=5/10/2013"",$A$16:$A$241,""<=5/20/2013"")",
Alex,"=COUNTIFS($C$16:$C$241,A294)","=SUMIFS($E$16:$E$241,$C$16:$C$241,A294)","=COUNTIFS($C$16:$C$241,A294,$B$16:$B$241,""Shaving"")","=COUNTIFS($C$16:$C$241,A294,$B$16:$B$241,""Kids"")","=SUMIFS($E$16:$E$241,$C$16:$C$241,A294,$B$16:$B$241,""Shaving"",$A$16:$A$241,"">=5/10/2013"",$A$16:$A$241,""<=5/20/2013"")",
,,,,,,
,,,,,,
Service,How many times total,Total price,How many times by cash,How many times by credit card,Total price by cash,
Shaving,"=COUNTIFS($B$16:$B$241,A298)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A298)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A298)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A298)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A298)",
Washing and combing,"=COUNTIFS($B$16:$B$241,A299)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A299)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A299)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A299)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A299)",
Dyeing,"=COUNTIFS($B$16:$B$241,A300)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A300)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A300)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A300)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A300)",
Meeting hairstyles,"=COUNTIFS($B$16:$B$241,A301)","=SUMIFS($E$16:$E$241,$B$16:$B$241,A301)","=COUNTIFS($D$16:$D$241,""cash"",$B$16:$B$241,A301)","=COUNTIFS($D$16:$D$241,""credit card"",$B$16:$B$241,A301)","=SUMIFS($E$16:$E$241,$D$16:$D$241,""cash"",$B$16:$B$241,A301)",
,,,,,,
,,,,,,
Stylist name,How many times total,Total price,How many times Shaving,How many times Kids,Sum of price for Shaving between 5/10/2013 and 5/20/2013,
Jane,"=COUNTIFS($C$16:$C$241,A305)","=SUMIFS($E$16:$E$241,$C$16:$C$241,A305)","=COUNTIFS($C$16:$C$241,A305,$B$16:$B$241,""Shaving"")","=COUNTIFS($C$16:$C$241,A305,$B$16:$B$241,""Kids"")","=SUMIFS($E$16:$E$241,$C$16:$C$241,A305,$B$16:$B$241,""Shaving"",$A$16:$A$241,"">=5/10/2013"",$A$16:$A$241,""<=5/20/2013"")",
Martha,"=COUNTIFS($C$16:$C$241,A306)","=SUMIFS($E$16:$E$241,$C$16:$C$241,A306)","=COUNTIFS($C$16:$C$241,A306,$B$16:$B$241,""Shaving"")","=COUNTIFS($C$16:$C$241,A306,$B$16:$B$241,""Kids"")","=SUMIFS($E$16:$E$241,$C$16:$C$241,A306,$B$16:$B$241,""Shaving"",$A$16:$A$241,"">=5/10/2013"",$A$16:$A$241,""<=5/20/2013"")",
Alex,"=COUNTIFS($C$16:$C$241,A307)","=SUMIFS($E$16:$E$241,$C$16:$C$241,A307)","=COUNTIFS($C$16:$C$241,A307,$B$16:$B$241,""Shaving"")","=COUNTIFS($C$16:$C$241,A307,$B$16:$B$241,""Kids"")","=SUMIFS($E$16:$E$241,$C$16:$C$241,A307,$B$16:$B$241,""Shaving"",$A$16:$A$241,"">=5/10/2013"",$A$16:$A$241,""<=5/20/2013"")",
